,age,gender,,,,,
,21,m,,,,,
135,140,145,150,155,160,165,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,1,0,0,
,1,1,1,0,0,0,
,1,0,1,0,0,0,
,1,1,1,0,0,0,
,1,1,0,0,0,0,
,1,1,1,0,1,0,
,0,1,0,0,1,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,1,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,1,0,0,
,1,1,1,1,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
average,0.05,0.05,0.1,0.8,0.9,1,
,age,gender,,,,,
,21,f,,,,,
135,140,145,150,155,160,165,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,0,0,0,0,
,1,1,1,0,0,0,
,1,1,0,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,1,0,0,0,
,1,1,0,1,0,0,
,1,1,0,1,0,0,
,1,1,1,0,0,0,
,1,1,1,1,0,0,
average,0,0,0.2,0.85,1,1,
,age,gender,,,,,
,21,m,,,,,
,135,140,145,150,155,160,165
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,0,0,0,0,0
,1,1,0,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,1,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
,1,1,1,0,0,0,0
average,0,0,0.1,0.95,1,1,1
age,gender,,,,,,
21,f,,,,,,
141,144,147,150,153,156,159,
1,1,1,1,0,1,0,
1,1,1,1,0,0,0,
1,1,1,1,0,0,0,
1,1,1,0,0,0,0,
1,1,1,1,1,0,0,
1,1,1,1,0,0,0,
1,1,1,1,0,0,0,
1,1,1,1,1,0,0,
1,1,1,1,0,1,0,
1,1,1,0,0,0,0,
